experiment,model,nfe,solver,skip_type,num_samples,fid,ctx_frac,warmth
cifar10_cold_fm_0_100,latest,50,midpoint,time_uniform,100,172.125,0.0,1.0
new_warmth_scaling_e2e_0_100,latest,50,midpoint,time_uniform,100,179.25,0.0,1.0
cifar10_cold_fm_0_100,latest,50,midpoint,time_uniform,100,152.75,0.01,1.0
new_warmth_scaling_e2e_0_100,latest,50,midpoint,time_uniform,100,156.75,0.01,1.0
cifar10_cold_fm_0_100,latest,50,midpoint,time_uniform,100,144.0,0.02,1.0
new_warmth_scaling_e2e_0_100,latest,50,midpoint,time_uniform,100,146.25,0.02,1.0
cifar10_cold_fm_0_100,latest,50,midpoint,time_uniform,100,129.375,0.05,1.0
new_warmth_scaling_e2e_0_100,latest,50,midpoint,time_uniform,100,129.0,0.05,1.0
cifar10_cold_fm_0_100,latest,50,midpoint,time_uniform,100,104.4375,0.1,1.0
new_warmth_scaling_e2e_0_100,latest,50,midpoint,time_uniform,100,96.9375,0.1,1.0
cifar10_cold_fm_0_100,latest,50,midpoint,time_uniform,100,78.25,0.2,1.0
new_warmth_scaling_e2e_0_100,latest,50,midpoint,time_uniform,100,71.1875,0.2,1.0
cifar10_cold_fm_0_100,latest,50,midpoint,time_uniform,100,62.65625,0.3,1.0
new_warmth_scaling_e2e_0_100,latest,50,midpoint,time_uniform,100,58.875,0.3,1.0
cifar10_cold_fm_0_100,latest,50,midpoint,time_uniform,100,49.96875,0.4,1.0
new_warmth_scaling_e2e_0_100,latest,50,midpoint,time_uniform,100,47.34375,0.4,1.0
cifar10_cold_fm_0_100,latest,50,midpoint,time_uniform,100,39.4375,0.5,0.2
new_warmth_scaling_e2e_0_100,latest,50,midpoint,time_uniform,100,37.71875,0.5,0.2
cifar10_cold_fm_0_100,latest,50,midpoint,time_uniform,100,30.109375,0.6,0.0
new_warmth_scaling_e2e_0_100,latest,50,midpoint,time_uniform,100,28.890625,0.6,0.0
cifar10_cold_fm_0_100,latest,50,midpoint,time_uniform,100,21.546875,0.7,0.0
new_warmth_scaling_e2e_0_100,latest,50,midpoint,time_uniform,100,20.375,0.7,0.0
cifar10_cold_fm_0_100,latest,50,midpoint,time_uniform,100,14.765625,0.8,0.0
new_warmth_scaling_e2e_0_100,latest,50,midpoint,time_uniform,100,13.7890625,0.8,0.0
cifar10_cold_fm_0_100,latest,50,midpoint,time_uniform,100,7.99609375,0.9,0.0
new_warmth_scaling_e2e_0_100,latest,50,midpoint,time_uniform,100,7.00390625,0.9,0.0
cifar10_cold_fm_0_100,latest,50,midpoint,time_uniform,100,4.1015625,0.95,0.5
new_warmth_scaling_e2e_0_100,latest,50,midpoint,time_uniform,100,3.70703125,0.95,0.5
cifar10_cold_fm_0_100,latest,50,midpoint,time_uniform,100,2.150390625,0.98,0.5
new_warmth_scaling_e2e_0_100,latest,50,midpoint,time_uniform,100,1.8818359375,0.98,0.5
cifar10_cold_fm_0_100,latest,50,midpoint,time_uniform,100,1.419921875,0.99,1.0
new_warmth_scaling_e2e_0_100,latest,50,midpoint,time_uniform,100,1.0703125,0.99,1.0
cifar10_cold_fm_0_100,latest,2,midpoint,time_uniform,10000,124.125,0.0,1.0
new_warmth_scaling_e2e_0_100,latest,2,midpoint,time_uniform,10000,209.875,0.0,1.0
cifar10_cold_fm_0_100,latest,2,midpoint,time_uniform,10000,54.4375,0.01,1.0
new_warmth_scaling_e2e_0_100,latest,2,midpoint,time_uniform,10000,61.46875,0.01,1.0
cifar10_cold_fm_0_100,latest,2,midpoint,time_uniform,10000,38.65625,0.02,1.0
new_warmth_scaling_e2e_0_100,latest,2,midpoint,time_uniform,10000,35.78125,0.02,1.0
cifar10_cold_fm_0_100,latest,2,midpoint,time_uniform,10000,22.765625,0.05,1.0
new_warmth_scaling_e2e_0_100,latest,2,midpoint,time_uniform,10000,15.3359375,0.05,1.0
cifar10_cold_fm_0_100,latest,2,midpoint,time_uniform,10000,16.328125,0.1,1.0
new_warmth_scaling_e2e_0_100,latest,2,midpoint,time_uniform,10000,8.5078125,0.1,1.0
cifar10_cold_fm_0_100,latest,2,midpoint,time_uniform,10000,11.234375,0.2,1.0
new_warmth_scaling_e2e_0_100,latest,2,midpoint,time_uniform,10000,5.3203125,0.2,1.0
cifar10_cold_fm_0_100,latest,2,midpoint,time_uniform,10000,7.546875,0.3,1.0
new_warmth_scaling_e2e_0_100,latest,2,midpoint,time_uniform,10000,3.802734375,0.3,1.0
cifar10_cold_fm_0_100,latest,2,midpoint,time_uniform,10000,4.953125,0.4,1.0
new_warmth_scaling_e2e_0_100,latest,2,midpoint,time_uniform,10000,2.810546875,0.4,1.0
cifar10_cold_fm_0_100,latest,2,midpoint,time_uniform,10000,3.1640625,0.5,0.2
new_warmth_scaling_e2e_0_100,latest,2,midpoint,time_uniform,10000,2.775390625,0.5,0.2
cifar10_cold_fm_0_100,latest,2,midpoint,time_uniform,10000,1.9921875,0.6,0.0
new_warmth_scaling_e2e_0_100,latest,2,midpoint,time_uniform,10000,1.798828125,0.6,0.0
cifar10_cold_fm_0_100,latest,2,midpoint,time_uniform,10000,1.23828125,0.7,0.0
new_warmth_scaling_e2e_0_100,latest,2,midpoint,time_uniform,10000,1.1416015625,0.7,0.0
cifar10_cold_fm_0_100,latest,2,midpoint,time_uniform,10000,0.734375,0.8,0.0
new_warmth_scaling_e2e_0_100,latest,2,midpoint,time_uniform,10000,0.6845703125,0.8,0.0
cifar10_cold_fm_0_100,latest,2,midpoint,time_uniform,10000,0.40283203125,0.9,0.0
new_warmth_scaling_e2e_0_100,latest,2,midpoint,time_uniform,10000,0.38232421875,0.9,0.0
cifar10_cold_fm_0_100,latest,2,midpoint,time_uniform,10000,0.27587890625,0.95,0.5
new_warmth_scaling_e2e_0_100,latest,2,midpoint,time_uniform,10000,0.29833984375,0.95,0.5
cifar10_cold_fm_0_100,latest,2,midpoint,time_uniform,10000,0.2159423828125,0.98,0.5
new_warmth_scaling_e2e_0_100,latest,2,midpoint,time_uniform,10000,0.255126953125,0.98,0.5
cifar10_cold_fm_0_100,latest,2,midpoint,time_uniform,10000,0.1976318359375,0.99,1.0
new_warmth_scaling_e2e_0_100,latest,2,midpoint,time_uniform,10000,0.084716796875,0.99,1.0
cifar10_cold_fm_0_100,latest,4,midpoint,time_uniform,10000,45.5,0.0,1.0
new_warmth_scaling_e2e_0_100,latest,4,midpoint,time_uniform,10000,43.65625,0.0,1.0
cifar10_cold_fm_0_100,latest,4,midpoint,time_uniform,10000,30.859375,0.01,1.0
new_warmth_scaling_e2e_0_100,latest,4,midpoint,time_uniform,10000,26.796875,0.01,1.0
cifar10_cold_fm_0_100,latest,4,midpoint,time_uniform,10000,25.484375,0.02,1.0
new_warmth_scaling_e2e_0_100,latest,4,midpoint,time_uniform,10000,18.875,0.02,1.0
cifar10_cold_fm_0_100,latest,4,midpoint,time_uniform,10000,16.671875,0.05,1.0
new_warmth_scaling_e2e_0_100,latest,4,midpoint,time_uniform,10000,8.953125,0.05,1.0
cifar10_cold_fm_0_100,latest,4,midpoint,time_uniform,10000,11.734375,0.1,1.0
