experiment,model,nfe,solver,skip_type,num_samples,fid,ctx_frac,warmth
2025-09-05_19-38_vibrant_fish_e2e,latest_ema,2,midpoint,time_uniform,50000,6.34765625,,1.0
2025-09-05_19-38_vibrant_fish_e2e,latest_ema,2,dpm_solver_3,time_uniform,50000,13.0625,,1.0
2025-09-05_19-38_vibrant_fish_e2e,latest_ema,4,midpoint,time_uniform,50000,2.482421875,,1.0
2025-09-05_19-38_vibrant_fish_e2e,latest_ema,4,dpm_solver_3,time_uniform,50000,5.4609375,,1.0
2025-09-05_19-38_vibrant_fish_e2e,latest_ema,6,midpoint,time_uniform,50000,1.59765625,,1.0
2025-09-05_19-38_vibrant_fish_e2e,latest_ema,6,dpm_solver_3,logSNR,50000,2.255859375,,1.0
2025-09-05_19-38_vibrant_fish_e2e,latest_ema,8,midpoint,time_uniform,50000,1.3203125,,1.0
2025-09-05_19-38_vibrant_fish_e2e,latest_ema,8,dpm_solver_3,logSNR,50000,1.6044921875,,1.0
2025-09-05_19-38_vibrant_fish_e2e,latest_ema,10,midpoint,time_uniform,50000,1.203125,,1.0
2025-09-05_19-38_vibrant_fish_e2e,latest_ema,10,dpm_solver_3,logSNR,50000,1.05859375,,1.0
2025-09-05_19-38_vibrant_fish_e2e,latest_ema,12,dpm_solver_3,logSNR,50000,0.935546875,,1.0
2025-09-05_19-38_vibrant_fish_e2e,latest_ema,20,dpm_solver_3,logSNR,50000,0.96044921875,,1.0
2025-09-05_19-38_vibrant_fish_e2e,latest_ema,50,dpm_solver_3,logSNR,50000,0.9619140625,,1.0
