experiment,model,nfe,solver,skip_type,num_samples,fid,ctx_frac,warmth
2025-12-28_22-39_witty_bear_e2e,latest_ema,2,midpoint,time_uniform,50000,5.68359375,,1.0
2025-12-28_22-39_witty_bear_e2e,latest_ema,2,dpm_solver_3,time_uniform,50000,10.109375,,1.0
2025-12-28_22-39_witty_bear_e2e,latest_ema,4,midpoint,time_uniform,50000,2.4296875,,1.0
2025-12-28_22-39_witty_bear_e2e,latest_ema,4,dpm_solver_3,time_uniform,50000,4.09765625,,1.0
2025-12-28_22-39_witty_bear_e2e,latest_ema,6,midpoint,time_uniform,50000,1.8037109375,,1.0
2025-12-28_22-39_witty_bear_e2e,latest_ema,6,dpm_solver_3,logSNR,50000,4.73828125,,1.0
2025-12-28_22-39_witty_bear_e2e,latest_ema,8,midpoint,time_uniform,50000,1.6845703125,,1.0
2025-12-28_22-39_witty_bear_e2e,latest_ema,8,dpm_solver_3,logSNR,50000,3.642578125,,1.0
2025-12-28_22-39_witty_bear_e2e,latest_ema,10,midpoint,time_uniform,50000,1.6630859375,,1.0
2025-12-28_22-39_witty_bear_e2e,latest_ema,10,dpm_solver_3,logSNR,50000,2.05078125,,1.0
2025-12-28_22-39_witty_bear_e2e,latest_ema,12,dpm_solver_3,logSNR,50000,1.7255859375,,1.0
2025-12-28_22-39_witty_bear_e2e,latest_ema,20,dpm_solver_3,logSNR,50000,1.7568359375,,1.0
2025-12-28_22-39_witty_bear_e2e,latest_ema,50,dpm_solver_3,logSNR,50000,1.6962890625,,1.0
