experiment,model,nfe,solver,skip_type,num_samples,fid,ctx_frac,warmth
new_warmth_scaling_end_to_end4,latest_ema,2,midpoint,time_uniform,50000,4.890625,,1.0
new_warmth_scaling_end_to_end4,latest_ema,2,dpm_solver_3,time_uniform,50000,13.4765625,,1.0
new_warmth_scaling_end_to_end4,latest_ema,4,midpoint,time_uniform,50000,2.001953125,,1.0
new_warmth_scaling_end_to_end4,latest_ema,4,dpm_solver_3,time_uniform,50000,4.28125,,1.0
new_warmth_scaling_end_to_end4,latest_ema,6,midpoint,time_uniform,50000,1.44140625,,1.0
new_warmth_scaling_end_to_end4,latest_ema,6,dpm_solver_3,logSNR,50000,1.4541015625,,1.0
new_warmth_scaling_end_to_end4,latest_ema,8,midpoint,time_uniform,50000,1.2578125,,1.0
new_warmth_scaling_end_to_end4,latest_ema,8,dpm_solver_3,logSNR,50000,1.5947265625,,1.0
new_warmth_scaling_end_to_end4,latest_ema,12,midpoint,time_uniform,50000,1.1416015625,,1.0
new_warmth_scaling_end_to_end4,latest_ema,12,dpm_solver_3,logSNR,50000,1.0654296875,,1.0
new_warmth_scaling_end_to_end4,latest_ema,20,midpoint,time_uniform,50000,1.0810546875,,1.0
new_warmth_scaling_end_to_end4,latest_ema,2,midpoint,time_uniform,50000,4.890625,,1.0
new_warmth_scaling_end_to_end4,latest_ema,2,dpm_solver_3,time_uniform,50000,13.4765625,,1.0
new_warmth_scaling_end_to_end4,latest_ema,4,midpoint,time_uniform,50000,2.001953125,,1.0
new_warmth_scaling_end_to_end4,latest_ema,4,dpm_solver_3,time_uniform,50000,4.28125,,1.0
new_warmth_scaling_end_to_end4,latest_ema,6,midpoint,time_uniform,50000,1.4404296875,,1.0
new_warmth_scaling_end_to_end4,latest_ema,6,dpm_solver_3,logSNR,50000,1.4541015625,,1.0
new_warmth_scaling_end_to_end4,latest_ema,8,midpoint,time_uniform,50000,1.2578125,,1.0
new_warmth_scaling_end_to_end4,latest_ema,8,dpm_solver_3,logSNR,50000,1.5947265625,,1.0
new_warmth_scaling_end_to_end4,latest_ema,12,midpoint,time_uniform,50000,1.1416015625,,1.0
new_warmth_scaling_end_to_end4,latest_ema,12,dpm_solver_3,logSNR,50000,1.0654296875,,1.0
new_warmth_scaling_end_to_end4,latest_ema,20,midpoint,time_uniform,50000,1.0810546875,,1.0
new_warmth_scaling_end_to_end4,latest,2,midpoint,time_uniform,50000,4.28125,,1.0
new_warmth_scaling_end_to_end4,latest,2,dpm_solver_3,time_uniform,50000,12.0,,1.0
new_warmth_scaling_end_to_end4,latest,4,midpoint,time_uniform,50000,1.7216796875,,1.0
new_warmth_scaling_end_to_end4,latest,4,dpm_solver_3,time_uniform,50000,3.77734375,,1.0
new_warmth_scaling_end_to_end4,latest,6,midpoint,time_uniform,50000,1.28125,,1.0
new_warmth_scaling_end_to_end4,latest,6,dpm_solver_3,logSNR,50000,1.3837890625,,1.0
new_warmth_scaling_end_to_end4,latest,8,midpoint,time_uniform,50000,1.154296875,,1.0
new_warmth_scaling_end_to_end4,latest,8,dpm_solver_3,logSNR,50000,1.75,,1.0
new_warmth_scaling_end_to_end4,latest,12,midpoint,time_uniform,50000,1.080078125,,1.0
new_warmth_scaling_end_to_end4,latest,12,dpm_solver_3,logSNR,50000,1.1220703125,,1.0
new_warmth_scaling_end_to_end4,latest,20,midpoint,time_uniform,50000,1.0458984375,,1.0
new_warmth_scaling_end_to_end4,latest,20,dpm_solver_3,logSNR,50000,1.0234375,,1.0
new_warmth_scaling_end_to_end4,latest,50,midpoint,time_uniform,50000,1.03515625,,1.0
new_warmth_scaling_end_to_end4,latest,50,dpm_solver_3,logSNR,50000,1.03125,,1.0
new_warmth_scaling_end_to_end4,latest,100,midpoint,time_uniform,50000,1.033203125,,1.0
new_warmth_scaling_end_to_end4,latest,100,dpm_solver_3,logSNR,50000,1.0322265625,,1.0
new_warmth_scaling_end_to_end4,latest_ema,10,midpoint,time_uniform,50000,1.185546875,,1.0
new_warmth_scaling_end_to_end4,latest_ema,10,dpm_solver_3,logSNR,50000,1.3125,,1.0
new_warmth_scaling_end_to_end4,latest_ema,20,dpm_solver_3,logSNR,50000,1.0283203125,,1.0
new_warmth_scaling_end_to_end4,latest_ema,50,dpm_solver_3,logSNR,50000,1.0458984375,,1.0
new_warmth_scaling_end_to_end4,latest,10,midpoint,time_uniform,50000,1.109375,,1.0
new_warmth_scaling_end_to_end4,latest,10,dpm_solver_3,logSNR,50000,1.4228515625,,1.0
