experiment,model,nfe,solver,skip_type,num_samples,fid,ctx_frac,warmth
warmth_1_1_ablation,latest_ema,2,midpoint,time_uniform,1000,38.625,,1.0
warmth_1_1_ablation,latest_ema,2,dpm_solver_3,time_uniform,1000,47.71875,,1.0
warmth_1_1_ablation,latest_ema,4,midpoint,time_uniform,1000,35.65625,,1.0
warmth_1_1_ablation,latest_ema,4,dpm_solver_3,time_uniform,1000,37.8125,,1.0
warmth_1_1_ablation,latest_ema,6,midpoint,time_uniform,1000,35.5,,1.0
warmth_1_1_ablation,latest_ema,6,dpm_solver_3,logSNR,1000,36.28125,,1.0
warmth_1_1_ablation,latest_ema,8,midpoint,time_uniform,1000,35.46875,,1.0
warmth_1_1_ablation,latest_ema,8,dpm_solver_3,logSNR,1000,36.9375,,1.0
warmth_1_1_ablation,latest_ema,10,midpoint,time_uniform,1000,35.4375,,1.0
warmth_1_1_ablation,latest_ema,10,dpm_solver_3,logSNR,1000,36.21875,,1.0
warmth_1_1_ablation,latest_ema,12,dpm_solver_3,logSNR,1000,35.625,,1.0
warmth_1_1_ablation,latest_ema,20,dpm_solver_3,logSNR,1000,35.5,,1.0
warmth_1_1_ablation,latest_ema,50,dpm_solver_3,logSNR,1000,35.46875,,1.0
warmth_1_1_ablation,latest_ema,2,midpoint,time_uniform,50000,5.2734375,,1.0
warmth_1_1_ablation,latest_ema,2,dpm_solver_3,time_uniform,50000,14.3046875,,1.0
warmth_1_1_ablation,latest_ema,4,midpoint,time_uniform,50000,2.00390625,,1.0
warmth_1_1_ablation,latest_ema,4,dpm_solver_3,time_uniform,50000,4.52734375,,1.0
warmth_1_1_ablation,latest_ema,6,midpoint,time_uniform,50000,1.55078125,,1.0
warmth_1_1_ablation,latest_ema,6,dpm_solver_3,logSNR,50000,1.5966796875,,1.0
warmth_1_1_ablation,latest_ema,8,midpoint,time_uniform,50000,1.4267578125,,1.0
warmth_1_1_ablation,latest_ema,8,dpm_solver_3,logSNR,50000,1.7333984375,,1.0
warmth_1_1_ablation,latest_ema,10,midpoint,time_uniform,50000,1.3662109375,,1.0
warmth_1_1_ablation,latest_ema,10,dpm_solver_3,logSNR,50000,1.3427734375,,1.0
warmth_1_1_ablation,latest_ema,12,midpoint,time_uniform,50000,1.3310546875,,1.0
warmth_1_1_ablation,latest_ema,12,dpm_solver_3,logSNR,50000,1.1826171875,,1.0
warmth_1_1_ablation,latest_ema,20,dpm_solver_3,logSNR,50000,1.212890625,,1.0
warmth_1_1_ablation,latest_ema,50,dpm_solver_3,logSNR,50000,1.234375,,1.0
